name,type,state,county,city,zip
New York City Police Department,Local police department,NY,New York,New York,10038
Chicago Police Dept,Local police department,IL,Cook,Chicago,60653
Los Angeles Police Department,Local police department,CA,Los Angeles,Los Angeles,90012
Los Angeles County Sheriff's Office,Sheriff's office,CA,Los Angeles,Monterey Park,91754
California Highway Patrol,Primary state law enforcement agency,CA,Sacramento,Sacramento,95818
Philadelphia Police Department,Local police department,PA,Philadelphia,Philadelphia,19136
Cook County Sheriff's Office,Sheriff's office,IL,Cook,Chicago,60602
Houston Police Department,Local police department,TX,Harris,Houston,77073
New York State Police,Primary state law enforcement agency,NY,Albany,Albany,12226
Pennsylvania State Police,Primary state law enforcement agency,PA,Dauphin,Harrisburg,17110
Washington Metropolitan Police Department,Local police department,DC,District of Columbia,Washington,20001
Texas Department of Public Safety,Primary state law enforcement agency,TX,Travis,Austin,78773
Dallas Police Department,Local police department,TX,Dallas,Dallas,75215
Phoenix Police Department,Local police department,AZ,Maricopa,Phoenix,85003
Miami-Dade (County) Police Department,Local police department,FL,Miami-Dade,Miami,33172
New Jersey State Police,Primary state law enforcement agency,NJ,Mercer,West Trenton,08628
Baltimore Police Department,Local police department,MD,Baltimore City,Baltimore,21211
Las Vegas Metro Police Department,Local police department,NV,Clark,Las Vegas,89101
Nassau County Police Department,Local police department,NY,Nassau,Mineola,11501
Suffolk County Police Department,Local police department,NY,Suffolk,Yaphank,11980
Harris County Sheriff's Office,Sheriff's office,TX,Harris,Houston,77002
Massachusetts State Police,Primary state law enforcement agency,MA,Middlesex,Framingham,01701
Detroit Police Department,Local police department,MI,Wayne,Detroit,48226
Boston Police Department,Local police department,MA,Suffolk,Boston,02120
Riverside County Sheriff's Office,Sheriff's office,CA,Riverside,Riverside,92501
Illinois State Police,Primary state law enforcement agency,IL,Sangamon,Springfield,62794
San Antonio Police Department,Local police department,TX,Bexar,San Antonio,78207
Milwaukee Police Department,Local police department,WI,Milwaukee,Milwaukee,53201
San Diego Police Department,Local police department,CA,San Diego,San Diego,92101
San Francisco Police Department,Local police department,CA,San Francisco,San Francisco,94103
Honolulu (City and County) Police Department,Local police department,HI,Honolulu,Honolulu,96813
Baltimore County Police Department,Local police department,MD,Baltimore,Towson,21286
Columbus Police Department,Local police department,OH,Franklin,Columbus,43215
Virginia State Police,Primary state law enforcement agency,VA,Chesterfield,Richmond,23235
North Carolina State Highway Patrol,Primary state law enforcement agency,NC,Wake,Raleigh,27611
San Bernardino County Sheriff's Office,Sheriff's office,CA,San Bernardino,San Bernardino,92415
Orange County Sheriff-Coroner Department,Sheriff's office,CA,Orange,Santa Ana,92702
Michigan State Police,Primary state law enforcement agency,MI,Ingham,East Lansing,48823
Atlanta Police Department,Local police department,GA,Fulton,Atlanta,30308
Charlotte - Mecklenburg Police Department,Local police department,NC,Mecklenburg,Charlotte,28202
Port Authority of New York & New Jersey Police Department,Special jurisdiction,NJ,Hudson,Jersey City,07310
Jacksonville Sheriff's Office,Local police department,FL,Duval,Jacksonville,32202
Broward County Sheriff's Office,Sheriff's office,FL,Broward,Fort Lauderdale,33312
Cleveland Police Department,Local police department,OH,Cuyahoga,Cleveland,44113
Florida Highway Patrol,Primary state law enforcement agency,FL,Leon,Tallahassee,32399
Indianapolis Police,Local police department,IN,Marion,Indianapolis,46204
Prince George's County Police Department,Local police department,MD,Prince Georges,Landover,20785
Ohio State Highway Patrol,Primary state law enforcement agency,OH,Franklin,Columbus,43211
